city,country,avg_temp_c,rainfall_mm,cost_index,safety_score,flight_cost_eur,accommodation_cost_eur,events_score,language_barrier,climate_rating,visa_free_days,healthcare_score,pollution_index,tourism_load_ratio,public_transport_score
Berlin,Germany,10,55,65,75,120,85,90,1,70,90,85,45,2.1,90
Amsterdam,Netherlands,11,80,80,85,110,120,85,1,65,90,90,35,3.5,85
Barcelona,Spain,16,60,60,70,140,90,95,3,85,90,80,55,4.2,80
Prague,Czech Republic,9,45,45,80,90,60,80,3,65,90,75,40,3.8,85
Lisbon,Portugal,17,70,55,85,160,70,75,3,90,90,85,30,2.8,75
Vienna,Austria,10,65,70,90,130,95,85,2,70,90,95,25,2.3,95
Rome,Italy,16,85,65,65,150,80,90,3,80,90,75,60,4.5,70
Paris,France,12,65,85,60,100,140,95,2,60,90,85,50,5.1,90
Copenhagen,Denmark,8,70,95,95,140,160,70,1,55,90,95,20,3.2,90
Stockholm,Sweden,7,55,90,95,160,140,75,1,50,90,90,15,2.0,95
Brussels,Belgium,11,75,75,70,80,100,70,2,60,90,85,40,2.9,80
Madrid,Spain,15,40,60,75,120,85,85,3,75,90,80,65,3.1,85
Munich,Germany,9,85,80,85,110,110,80,2,65,90,90,30,2.7,90
Zurich,Switzerland,9,120,120,95,180,200,60,2,65,90,100,15,1.8,95
Dublin,Ireland,10,90,85,85,90,130,80,1,55,90,85,45,2.5,75
Budapest,Hungary,11,50,40,75,110,50,85,4,70,90,70,35,3.6,80
Warsaw,Poland,9,45,50,80,100,55,70,4,65,90,75,40,2.4,85
Athens,Greece,18,35,55,60,180,65,75,3,85,90,70,70,4.8,60
Helsinki,Finland,5,60,85,95,200,120,60,2,40,90,95,10,1.5,90
Oslo,Norway,6,90,110,95,220,180,65,1,45,90,100,12,1.2,85 
